"menu_item_id","region","crust","size","variable","value","radius","area","px_inc"
" 8379924","Midwest","thin","12","one_topping_px"," 7"," 6","113","0.062"
" 9995930","Midwest","stuffed","16","one_topping_px","20"," 8","201","0.101"
" 6821414","South","thin","10","zero_topping_px","11"," 5"," 79","0.140"
" 9839829","Midwest","thin","14","two_topping_px","12"," 7","154","0.081"
" 9934859","West","thin","14","zero_topping_px","13"," 7","154","0.086"
" 6820840","South","deep dish","12","two_topping_px","17"," 6","113","0.155"
" 7806492","West","thin","20","four_topping_px","20","10","314","0.064"
" 7958011","Midwest","hand-tossed","14","three_topping_px","16"," 7","154","0.103"
" 6985873","South","thin","12","one_topping_px","10"," 6","113","0.093"
" 7899821","Northeast","hand-tossed","10","three_topping_px","11"," 5"," 79","0.140"
" 1540578","Midwest","thin","14","four_topping_px","10"," 7","154","0.065"
"  688474","Midwest","thin","18","three_topping_px","24"," 9","254","0.093"
"10636008","Midwest","thin"," 8","one_topping_px"," 4"," 4"," 50","0.090"
" 2453276","West","thin","16","four_topping_px","18"," 8","201","0.091"
" 1406245","Midwest","thin","12","three_topping_px","17"," 6","113","0.148"
" 9345700","West","hand-tossed","14","three_topping_px","10"," 7","154","0.065"
" 6872081","Midwest","stuffed","12","one_topping_px","14"," 6","113","0.124"
" 2597803","Midwest","thin","16","four_topping_px","12"," 8","201","0.058"
" 1650696","Northeast","thin","16","zero_topping_px","15"," 8","201","0.075"
"10595791","Midwest","hand-tossed","14","three_topping_px","13"," 7","154","0.088"
" 9943236","Midwest","thin","24","four_topping_px","34","12","452","0.075"
" 8645502","Midwest","stuffed","16","zero_topping_px","18"," 8","201","0.092"
"10275275","South","thin","18","one_topping_px","15"," 9","254","0.058"
"10375145","South","hand-tossed","14","four_topping_px","24"," 7","154","0.156"
" 4055793","Midwest","hand-tossed","12","one_topping_px","11"," 6","113","0.097"
" 1694097","West","thin","10","four_topping_px","13"," 5"," 79","0.160"
" 9863912","Midwest","deep dish","12","two_topping_px","13"," 6","113","0.117"
" 9418034","Midwest","thin","16","three_topping_px","23"," 8","201","0.113"
" 9890579","Midwest","stuffed","12","three_topping_px","18"," 6","113","0.159"
"10138030","West","thin"," 9","two_topping_px"," 7"," 4"," 64","0.110"
" 9807196","South","hand-tossed","12","four_topping_px","10"," 6","113","0.088"
" 8618146","West","thin","16","zero_topping_px","15"," 8","201","0.075"
"10096704","South","hand-tossed","16","zero_topping_px","10"," 8","201","0.050"
" 8285705","South","thin","14","one_topping_px","10"," 7","154","0.065"
" 7062692","South","thin","10","two_topping_px","11"," 5"," 79","0.140"
" 7037206","Northeast","thin","12","four_topping_px","16"," 6","113","0.140"
"   60022","Midwest","stuffed","14","three_topping_px","22"," 7","154","0.144"
" 8055284","Northeast","hand-tossed","10","three_topping_px"," 6"," 5"," 79","0.073"
" 8553660","Midwest","thin"," 8","zero_topping_px","13"," 4"," 50","0.258"
" 1508971","Midwest","thin","14","four_topping_px","11"," 7","154","0.073"
" 1478794","Midwest","thin","14","zero_topping_px","14"," 7","154","0.090"
" 6674363","Midwest","hand-tossed","10","three_topping_px","12"," 5"," 79","0.152"
"  985515","West","thin","16","zero_topping_px","22"," 8","201","0.109"
" 7890180","Midwest","thin","10","zero_topping_px"," 7"," 5"," 79","0.095"
" 1050778","Northeast","thin","14","four_topping_px"," 9"," 7","154","0.058"
" 9610188","Midwest","thin","14","three_topping_px","13"," 7","154","0.084"
"  670628","West","thin","16","four_topping_px","17"," 8","201","0.087"
"10220581","South","thin","12","two_topping_px"," 9"," 6","113","0.079"
" 6387120","Midwest","thin","16","three_topping_px","16"," 8","201","0.080"
" 9114695","Midwest","hand-tossed","12","zero_topping_px"," 6"," 6","113","0.053"
"11844095","Midwest","thin","14","two_topping_px","18"," 7","154","0.120"
"10499420","Midwest","thin","12","four_topping_px","13"," 6","113","0.115"
"11857798","Midwest","deep dish","10","zero_topping_px","12"," 5"," 79","0.146"
" 2051970","South","thin","12","two_topping_px","11"," 6","113","0.097"
"11934540","Midwest","hand-tossed","14","three_topping_px","26"," 7","154","0.167"
"  670653","West","thin","16","three_topping_px","20"," 8","201","0.099"
" 4368947","Midwest","thin","10","one_topping_px","15"," 5"," 79","0.190"
" 1709433","Midwest","thin","16","three_topping_px","16"," 8","201","0.080"
" 9863910","Midwest","thin","10","one_topping_px"," 8"," 5"," 79","0.106"
" 8281759","West","thin","15","four_topping_px","24"," 8","177","0.136"
" 9718099","Midwest","thin","10","one_topping_px"," 8"," 5"," 79","0.102"
" 1682276","Midwest","thin","16","four_topping_px","16"," 8","201","0.077"
" 1473826","Midwest","thin","18","two_topping_px","20"," 9","254","0.080"
" 6280030","Midwest","thin","12","three_topping_px","29"," 6","113","0.256"
" 4342629","Midwest","thin","16","one_topping_px","14"," 8","201","0.071"
" 9767497","West","hand-tossed","16","one_topping_px","10"," 8","201","0.050"
" 9935138","West","thin","16","zero_topping_px","15"," 8","201","0.076"
"11717966","West","thin","12","two_topping_px","11"," 6","113","0.097"
"  112012","Midwest","stuffed","12","one_topping_px","20"," 6","113","0.173"
" 8714287","Northeast","hand-tossed","12","one_topping_px"," 9"," 6","113","0.079"
" 7037462","West","hand-tossed","12","two_topping_px","11"," 6","113","0.097"
" 8751517","Midwest","thin","12","four_topping_px","10"," 6","113","0.089"
" 1415559","Midwest","thin","10","three_topping_px","14"," 5"," 79","0.178"
"  486767","Midwest","thin","12","one_topping_px","11"," 6","113","0.099"
" 8743852","Northeast","deep dish","14","two_topping_px","13"," 7","154","0.084"
"10072184","Northeast","thin","14","zero_topping_px","12"," 7","154","0.075"
