date,Total,Construction,Manufacturing,Retail trade,Professional and business services,Leisure and hospitality,Government
1/1/2012,50.28161802,21.05263158,45.02369668,58.42293907,52.71428571,55.2742616,43.66197183
2/1/2012,50.11899096,23.16715543,43.88185654,62.8113879,42.49448124,59.3006993,41.31944444
3/1/2012,51.48325359,24.28115016,47.27272727,59.3639576,46.17196702,61.73001311,44.55782313
4/1/2012,50.46094129,27.07581227,47.89915966,59.60502693,47.51861042,59.31506849,45.63106796
5/1/2012,48.36968743,22.63610315,45.56451613,54.54545455,44.29460581,61.01468625,40.74074074
6/1/2012,50.04659832,24.4047619,41.72932331,59.57820738,43.46368715,64.38746439,43.42105263
7/1/2012,52.61437908,23.16384181,47.74774775,63.14814815,48.17232376,62.04906205,44.02730375
8/1/2012,49.27436075,24.83221477,44.75806452,54.13907285,42.01117318,57.7540107,43.59861592
9/1/2012,48.76604146,22.91666667,44.76987448,58.67620751,43.97163121,58.40707965,43.08943089
10/1/2012,50.9683746,32.29166667,43.63636364,57.71324864,45.91836735,60.19283747,45.73170732
11/1/2012,51.20842307,25.06963788,46.28820961,67.1875,46.40753828,63.68876081,44.21768707
12/1/2012,52.33874938,25.85551331,50.21645022,55.12605042,50.799508,61.86556927,43.79310345
1/1/2013,54.15768033,42.53968254,45.58139535,62.4137931,44.37869822,66.01398601,43.70860927
2/1/2013,54.68899522,32.91925466,45.33333333,60.72041166,50,67.26027397,42.90540541
3/1/2013,50.90953189,28.79746835,46.30541872,57.09156194,47.69230769,60.29810298,43.09210526
4/1/2013,50.96804292,32.66666667,48.66071429,56.29139073,47.78554779,58.27984596,48.66666667
5/1/2013,50.97009815,33.66013072,44.97991968,52.36541599,49.29245283,63.21525886,45
6/1/2013,52.15231788,34.19354839,44.19642857,59.92714026,51.06621773,58.91891892,45.07936508
7/1/2013,54.80926749,34.24657534,47.89915966,61.0915493,57.92291221,62.10670315,47.68683274
8/1/2013,53.66628831,34.34343434,43.08943089,62.46153846,51.74234424,62.91666667,46.44194757
9/1/2013,51.97677016,34.40860215,50,65.10500808,47.2367049,58.23095823,40.51094891
10/1/2013,56.64684899,30,51.9047619,64.67817896,54.27872861,68.89185581,43.72990354
11/1/2013,57.02207609,25.27075812,53.84615385,63.71814093,54.92610837,69.45876289,42.46575342
